skin_H,skin_S,skin_V,cloth_R,cloth_G,cloth_B,label
15,88,213,223,209,214,1
13,81,228,40,41,45,1
11,109,214,23,23,25,1
11,95,199,28,31,44,1
10,89,203,241,237,236,1
13,88,209,210,194,204,1
12,113,195,27,28,27,1
12,95,207,26,28,30,1
14,89,183,28,26,27,1
12,108,179,27,28,30,1
12,112,189,36,37,38,1
11,120,191,219,219,219,1
10,75,212,174,176,172,1
12,125,177,35,35,37,1
11,95,199,33,35,37,1
12,91,198,171,167,156,1
10,104,176,96,96,96,1
11,134,192,77,67,73,1
13,117,178,112,117,118,1
11,84,199,36,44,74,1
11,86,209,235,232,232,1
10,139,166,48,48,49,1
11,91,203,28,82,137,1
14,103,202,211,34,52,1
12,71,220,153,117,63,1
11,104,202,70,79,101,1
11,80,199,25,25,24,1
13,80,221,37,34,41,1
11,91,202,219,222,221,1
14,72,199,238,238,237,1
11,56,231,178,155,143,1
13,78,208,247,228,218,1
14,88,204,76,55,109,1
12,108,204,217,218,219,1
14,91,197,20,21,24,1
13,83,199,27,28,30,1
31,66,211,231,231,231,1
12,121,172,36,36,38,1
11,129,145,21,23,34,1
11,102,213,240,239,236,1
11,89,210,241,241,240,1
14,92,187,35,41,51,1
11,87,207,127,120,102,1
15,127,174,33,33,33,1
11,115,191,136,144,160,1
12,80,210,201,127,140,1
10,101,186,226,226,226,1
12,76,209,31,32,36,1
10,151,155,20,19,20,1
15,108,199,250,138,147,1
11,104,206,225,226,221,1
11,119,189,208,35,51,1
64,119,117,80,42,49,1
13,84,207,244,245,244,1
12,87,212,216,219,215,1
14,64,221,47,47,47,1
9,131,170,230,230,230,1
17,117,186,55,62,123,1
14,72,223,44,48,61,1
9,129,176,60,45,47,1
12,100,191,52,50,52,1
12,121,200,238,243,36,1
13,111,202,32,31,31,1
13,115,183,197,204,201,1
12,134,166,167,165,164,1
14,85,232,229,229,225,1
13,107,193,55,54,57,1
15,106,189,32,43,83,1
11,133,172,40,56,153,1
12,89,206,208,207,208,1
10,98,197,34,34,35,1
11,85,218,204,204,204,1
10,94,187,240,240,240,1
11,86,195,37,44,70,1
14,90,193,43,43,43,1
12,104,194,208,208,206,1
9,128,161,31,29,32,1
12,95,198,243,243,242,1
14,82,203,46,47,46,1
10,126,181,43,42,48,1
11,133,178,215,44,58,1
13,80,211,227,179,180,1
11,129,175,64,66,73,1
11,102,199,215,209,193,1
12,96,198,49,50,50,1
11,134,197,242,239,230,1
10,86,210,232,232,228,1
14,75,212,232,231,231,1
13,96,206,243,243,237,1
12,96,187,235,235,235,1
15,100,202,110,100,104,1
10,101,187,65,47,51,1
11,95,197,233,233,232,1
14,55,187,83,94,115,1
10,117,176,245,245,247,1
10,81,209,222,14,37,1
11,102,191,63,63,64,1
11,108,183,39,58,59,1
10,93,197,222,181,23,1
12,102,204,232,232,210,1
8,142,124,95,75,65,1
11,79,208,221,221,223,1
12,87,209,232,232,232,1
13,86,202,240,239,244,1
10,128,165,228,229,232,1
13,77,211,8,140,128,1
10,109,197,236,235,238,1
11,147,170,146,138,134,1
10,91,214,17,17,17,1
11,72,182,191,198,191,1
14,65,232,17,18,20,1
11,85,197,30,38,58,1
12,107,211,230,223,226,1
12,105,184,27,26,22,1
13,79,208,50,51,51,1
14,111,190,58,59,60,1
14,97,194,12,13,14,1
11,67,187,50,43,51,1
10,141,164,171,175,176,1
12,85,203,90,92,78,1
10,102,188,42,48,66,1
11,123,187,221,41,57,1
11,68,224,230,211,207,1
10,111,190,28,29,31,1
10,103,194,215,211,200,1
11,130,109,37,43,59,1
11,125,181,43,46,47,1
12,82,209,35,36,57,1
13,95,200,44,46,60,1
9,86,193,247,233,230,1
